source,appearance,color
QUI-GON,61.0,#4f4fb1
NUTE GUNRAY,24.0,#808080
PK-4,3.0,#808080
TC-14,4.0,#808080
OBI-WAN,147.0,#48D1CC
DOFINE,3.0,#808080
RUNE,10.0,#808080
TEY HOW,4.0,#808080
EMPEROR,51.0,#191970
CAPTAIN PANAKA,19.0,#808080
SIO BIBBLE,8.0,#808080
JAR JAR,41.0,#9a9a00
TARPALS,3.0,#808080
BOSS NASS,4.0,#808080
PADME,74.0,#DDA0DD
RIC OLIE,11.0,#808080
WATTO,8.0,#808080
ANAKIN,131.0,#ce3b59
SEBULBA,3.0,#808080
JIRA,3.0,#808080
SHMI,11.0,#808080
C-3PO,150.0,#FFD700
DARTH MAUL,5.0,#808080
KITSTER,4.0,#808080
WALD,3.0,#808080
FODE/BEED,11.0,#808080
JABBA,7.0,#808080
GREEDO,3.0,#808080
VALORUM,3.0,#808080
MACE WINDU,22.0,#808080
KI-ADI-MUNDI,6.0,#808080
YODA,45.0,#9ACD32
RABE,2.0,#808080
BAIL ORGANA,23.0,#808080
GENERAL CEEL,4.0,#808080
BRAVO TWO,5.0,#808080
BRAVO THREE,3.0,#808080
CAPTAIN TYPHO,6.0,#808080
SENATOR ASK AAK,3.0,#808080
ORN FREE TAA,3.0,#808080
SOLA,3.0,#808080
JOBAL,3.0,#808080
RUWEE,4.0,#808080
TAUN WE,7.0,#808080
LAMA SU,8.0,#808080
BOBA FETT,10.0,#808080
JANGO FETT,5.0,#808080
OWEN,10.0,#808080
BERU,6.0,#808080
CLIEGG,3.0,#808080
COUNT DOOKU,9.0,#808080
SUN RIT,3.0,#808080
POGGLE,3.0,#808080
PLO KOON,3.0,#808080
ODD BALL,4.0,#808080
GENERAL GRIEVOUS,12.0,#808080
FANG ZAR,3.0,#808080
MON MOTHMA,4.0,#808080
GIDDEAN DANU,2.0,#808080
CLONE COMMANDER GREE,4.0,#808080
CLONE COMMANDER CODY,4.0,#808080
TION MEDON,3.0,#808080
CAPTAIN ANTILLES,3.0,#808080
DARTH VADER,58.0,#000000
LUKE,160.0,#3881e5
CAMIE,3.0,#808080
BIGGS,18.0,#808080
LEIA,98.0,#DCDCDC
MOTTI,3.0,#808080
TARKIN,12.0,#808080
HAN,169.0,#ff9400
DODONNA,3.0,#808080
GOLD LEADER,14.0,#808080
WEDGE,28.0,#808080
RED LEADER,33.0,#808080
RED TEN,8.0,#808080
GOLD FIVE,8.0,#808080
RIEEKAN,7.0,#808080
DERLIN,3.0,#808080
ZEV,6.0,#808080
PIETT,12.0,#808080
OZZEL,3.0,#808080
DACK,4.0,#808080
JANSON,4.0,#808080
NEEDA,3.0,#808080
LANDO,41.0,#808080
JERJERROD,3.0,#808080
BIB FORTUNA,3.0,#808080
BOUSHH,3.0,#808080
ADMIRAL ACKBAR,12.0,#808080
LOR SAN TEKKA,4.0,#808080
POE,30.0,#a15bea
KYLO REN,22.0,#000000
CAPTAIN PHASMA,6.0,#808080
FINN,63.0,#07b19f
UNKAR PLUTT,5.0,#808080
REY,56.0,#ffe0af
GENERAL HUX,14.0,#808080
LIEUTENANT MITAKA,3.0,#808080
BALA-TIK,4.0,#808080
SNOKE,4.0,#191970
MAZ,6.0,#808080
BB-8,2.0,#eb5d00
SNAP,5.0,#808080
ADMIRAL STATURA,3.0,#808080
YOLO ZIFF,3.0,#808080
COLONEL DATOO,3.0,#808080
ELLO ASTY,4.0,#808080
JESS,4.0,#808080
NIV LEK,3.0,#808080
