source,appearance,color
QUI-GON,60.0,#4f4fb1
NUTE GUNRAY,18.0,#808080
PK-4,2.0,#808080
TC-14,4.0,#808080
OBI-WAN,33.0,#48D1CC
DOFINE,3.0,#808080
RUNE,10.0,#808080
TEY HOW,4.0,#808080
EMPEROR,13.0,#191970
CAPTAIN PANAKA,19.0,#808080
SIO BIBBLE,7.0,#808080
JAR JAR,35.0,#9a9a00
TARPALS,3.0,#808080
BOSS NASS,4.0,#808080
PADME,30.0,#DDA0DD
RIC OLIE,11.0,#808080
WATTO,7.0,#808080
ANAKIN,40.0,#ce3b59
SEBULBA,3.0,#808080
JIRA,3.0,#808080
SHMI,10.0,#808080
C-3PO,5.0,#FFD700
DARTH MAUL,5.0,#808080
KITSTER,4.0,#808080
WALD,3.0,#808080
FODE/BEED,11.0,#808080
JABBA,3.0,#808080
GREEDO,2.0,#808080
VALORUM,3.0,#808080
MACE WINDU,5.0,#808080
KI-ADI-MUNDI,4.0,#808080
YODA,6.0,#9ACD32
RABE,2.0,#808080
BAIL ORGANA,2.0,#808080
GENERAL CEEL,4.0,#808080
BRAVO TWO,5.0,#808080
BRAVO THREE,3.0,#808080
