source,appearance,color
ANAKIN,53.0,#ce3b59
OBI-WAN,59.0,#48D1CC
ODD BALL,4.0,#808080
GENERAL GRIEVOUS,12.0,#808080
EMPEROR,24.0,#191970
COUNT DOOKU,2.0,#808080
BAIL ORGANA,20.0,#808080
C-3PO,15.0,#FFD700
PADME,23.0,#DDA0DD
YODA,23.0,#9ACD32
FANG ZAR,3.0,#808080
MON MOTHMA,3.0,#808080
GIDDEAN DANU,2.0,#808080
MACE WINDU,7.0,#808080
CAPTAIN TYPHO,3.0,#808080
CLONE COMMANDER GREE,4.0,#808080
CLONE COMMANDER CODY,4.0,#808080
JAR JAR,2.0,#9a9a00
TION MEDON,3.0,#808080
NUTE GUNRAY,5.0,#808080
PLO KOON,2.0,#808080
CAPTAIN ANTILLES,3.0,#808080
DARTH VADER,4.0,#000000
QUI-GON,2.0,#4f4fb1
